Player_Id,bet_amt,cpd,ggr
"576,360,735",10500,4,1599
"204,442,185",16249,15,1532
"566,173,069",4377,10,960
"193,821,339",28409,15,2190
"517,800,410",186,2,27
"561,732,094",2403,1,2036
"577,082,040",20406,4,981
"576,120,095",2954,2,168
"560,843,584",7079,18,0
"515,649,056",1010,2,103
"3,200,953",75464,22,4762
"554,701,349",888,11,50
"147,536,710",520,3,45
"422,579,493",28461,25,2541
"2,073,740",3073,6,574
"409,130,604",26078,23,801
"566,829,369",44330,32,227
"554,798,879",709,5,218
"550,553,505",11907,3,2031
"577,273,602",12087,1,1629
"575,113,324",4858,26,693
"576,120,307",15975,19,-415
"574,957,033",512,1,240
"554,991,763",16656,16,1514
"560,867,711",5675,6,1030
"517,705,331",17,1,1
"551,226,294",10914,10,1319
"555,649,057",35950,10,579
"579,197,514",73025,3,8160
"415,162,332",211665,23,8209
"478,141,204",624,22,130
"555,718,838",46626,23,-2232
"560,871,644",39439,21,-267
"549,779,082",6,2,4
"577,653,687",169769,25,3060
"422,480,865",50748,27,5051
"578,858,171",94890,6,6702
"576,119,827",19347,14,-4001
"415,246,261",253,21,118
"559,676,268",346,1,-296
"559,545,087",4582,19,756
"577,922,322",174,16,60
"561,961,914",6542,8,361
"577,913,548",17438,19,4490
"576,352,988",6141,14,137
"556,481,153",10342,22,1288
"517,574,100",26270,14,755
"398,777,759",4409,7,556
"519,589,144",679,1,60
"576,666,603",19,1,8
"422,282,703",5604,9,1674
"391,399,304",13246,24,1339
"551,384,729",5769,8,1559
"574,617,104",162,7,76
"517,948,138",65219,1,6690
"550,541,895",26412,24,6021
"575,133,322",15576,11,201
"579,218,581",878,1,268
"549,262,842",371,1,188
"566,977,449",114,3,65
"550,814,005",14529,23,1711
"510,490,083",300,3,35
"576,148,054",21401,16,-1250
"559,416,078",84929,17,2721
"579,128,801",1799,2,285
"575,654,332",120,11,47
"579,218,838",32735,2,-2990
"560,141,992",1690,4,825
"557,387,857",183,2,81
"559,415,567",51146,17,2217
"578,361,034",19812,14,43
"533,849,802",70655,23,1416
"578,659,484",2004,5,-221
"534,197,454",4825,11,836
"567,072,910",16898,8,2278
"555,967,537",195,5,49
"554,452,617",677,11,203
"555,179,594",742,9,242
"195,271,430",77584,6,1370
"555,175,882",585,1,143
"517,473,805",5489,7,1296
"555,173,751",127,1,33
"549,676,708",16080,15,1869
"561,414,610",67865,28,-613
"511,059,869",2068,9,519
"579,071,542",78749,1,8120
"517,293,054",4117,8,508
"558,991,264",6909,3,658
"566,286,448",750,4,77
"556,083,231",182332,14,5311
"504,888,088",17,1,14
"559,097,293",33665,24,4659
"561,462,208",42,2,24
"528,843,664",13492,11,1192
"555,448,147",79298,23,2652
"566,985,491",482,1,27
"577,303,333",6116,8,677
"214,239,455",13814,5,1428
"576,055,023",19852,25,13
"519,617,639",252,2,92
"295,576,584",27127,20,1302
"481,291,731",804,11,177
"208,782,159",18379,20,4874
"529,085,137",58393,19,4977
"534,248,241",9093,19,901
"549,182,904",18203,23,1593
"15,025,038",336,9,44
"558,389,269",42594,19,5077
"575,203,481",350,5,55
"409,377,344",11745,27,223
"215,111,722",55507,27,2696
"214,930,987",13966,11,1451
"517,498,705",3991,12,-402
"555,641,740",193,12,103
"577,325,580",4,1,0
"554,175,521",15269,17,1279
"551,861,297",22791,21,-2905
"533,787,810",3808,5,1087
"512,872,807",1,1,1
"560,332,337",28503,28,2540
"517,965,603",614,3,44
"529,766,173",455,9,123
"554,174,549",111,2,47
"519,676,047",189,1,81
"578,416,927",70318,7,-4668
"553,860,244",415,1,122
"554,183,336",47099,8,3500
"517,263,744",4906,6,687
"579,100,698",455,4,273
"551,361,145",192,3,69
"574,892,482",853,10,138
"561,350,948",1307,2,467
"566,227,683",39,17,22
"549,848,948",335,3,82
"194,550,930",3359,7,691
"534,235,513",56860,14,785
"563,533,030",864,3,-140
